code,name,nlines,nfiles
AL,Alabama,1015769,1
AR,Arkansas,753674,1
AZ,Arizona,1168276,1
CA,California,3978198,2
CO,Colorado,1072588,1
CT,Connecticut,419664,1
DE,Delaware,136246,1
FL,Florida,2693459,2
GA,Georgia,1733290,1
HI,Hawaii,136225,1
IA,Iowa,809654,1
ID,Idaho,553818,1
IL,Illinois,1813183,1
IN,Indiana,1195989,1
KS,Kansas,873892,1
KY,Kentucky,948900,1
LA,Louisiana,752245,1
MA,Massachusetts,744625,1
MD,Maryland,783998,1
ME,Maine,457301,1
MI,Michigan,1697233,1
MN,Minnesota,1378728,1
MO,Missouri,1300996,1
MS,Mississippi,668131,1
MT,Montana,855049,1
NC,North Carolina,1745709,1
ND,North Dakota,581729,1
NE,Nebraska,663719,1
NH,New Hampshire,242849,1
NJ,New Jersey,918794,1
NM,New Mexico,672861,1
NV,Nevada,463208,1
NY,New York,1572184,1
OH,Ohio,1776182,1
OK,Oklahoma,1009380,1
OR,Oregon,1101661,1
PA,Pennsylvania,1914540,2
RI,Rhode Island,129112,1
SC,South Carolina,881209,1
SD,South Dakota,531618,1
TN,Tennessee,1226761,1
TX,Texas,4867227,3
UT,Utah,546877,1
VA,Virginia,1456460,1
VT,Vermont,167696,1
WA,Washington,1559438,1
WI,Wisconsin,1229191,1
WV,West Virginia,465334,1
WY,Wyoming,370381,1
